Week,NT Book,NT Ch.,OT Book,OT Ch.,Psalms,Ps Ch.,Proverbs,Prov Ch.
29,Romans,13-16,Numbers,1-4,Psalms,66-67,Proverbs,28
30,Ephesians,,Numbers,5-8,Psalms,68-70,Proverbs,29
31,Mark,1-4,Numbers,9-12,Psalms,71-72,Proverbs,30
32,Mark,5-8,Numbers,13-16,Psalms,73-74,Proverbs,31
33,Mark,9-12,Numbers,17-20,Psalms,75-76,Proverbs,1
34,Mark,13-16,Numbers,21-24,Psalms,77-78,Proverbs,2
35,James,,Numbers,25-28,Psalms,79-80,Proverbs,3
36,1 Corinthians,1-4,Numbers,29-32,Psalms,81-83,Proverbs,4
37,1 Corinthians,5-8,Numbers,33-36,Psalms,84-85,Proverbs,5
38,1 Corinthians,9-12,Deuteronomy,1-4,Psalms,86-87,Proverbs,6
39,1 Corinthians,13-16,Deuteronomy,5-8,Psalms,88-90,Proverbs,7
40,1 Thessalonians,,Deuteronomy,9-13,Psalms,91-92,Proverbs,8
41,2 Corinthians,1-4,Deuteronomy,14-18,Psalms,93-94,Proverbs,9
42,2 Corinthians,5-9,Deuteronomy,19-22,Psalms,95-97,,
43,2 Corinthians,10-13,Deuteronomy,23-26,Psalms,98-99,Proverbs,10
44,2 Thessalonians,,Deuteronomy,27-30,Psalms,100-101,Proverbs,11
45,Luke,1-4,Deuteronomy,31-34,Psalms,102-104,Proverbs,12
46,Luke,5-8,Joshua,1-4,Psalms,105-106,Proverbs,13
47,Luke,9-12,Joshua,5-8,Psalms,107-108,Proverbs,14
48,Luke,13-16,Joshua,9-12,Psalms,109-111,Proverbs,15
49,Luke,17-20,Joshua,13-17,Psalms,112-113,Proverbs,16
50,Luke,21-24,Joshua,18-21,Psalms,114-115,Proverbs,17
51,1 Timothy,,Joshua,22-24,Psalms,116-118,Proverbs,18
52,Hebrews,1-4,Judges,1-5,Psalms,119-120,Proverbs,19
53,Hebrews,5-8,Judges,6-9,Psalms,121-122,Proverbs,20
54,Hebrews,9-13,Judges,10-12,Psalms,123-125,Proverbs,21
55,2 Timothy,,Judges,13-16,Psalms,126-127,Proverbs,22
56,Titus,,Judges,17-21,Psalms,128-129,Proverbs,23
57,Revelation,1-5,Ruth,,Psalms,130-132,Proverbs,24
58,Revelation,6-9,1 Samuel,1-3,Psalms,133-134,Proverbs,25
59,Revelation,10-14,1 Samuel,4-7,Psalms,135-136,Proverbs,26
60,Revelation,15-18,1 Samuel,8-12,Psalms,137-139,Proverbs,27
61,Revelation,19-22,1 Samuel,13-16,Psalms,140-141,Proverbs,28
62,1 Peter,,1 Samuel,17-20,Psalms,142-143,Proverbs,29
63,Philemon,,1 Samuel,21-24,Psalms,144-145,Proverbs,30
64,2 Peter,,1 Samuel,25-28,Psalms,146-148,,
65,Jude,,1 Samuel,29-31,Psalms,149-150,Proverbs,31
66,1 John,,2 Samuel,1-5,Psalms,1-2,Proverbs,1
67,John,1-4,2 Samuel,6-10,Psalms,3-4,Proverbs,2
